2025-12-21 21:09:45 INFO  [http-nio-8080-exec-2] REQUEST_LOG - INCOMING_REQUEST | Endpoint=/bill/xml-to-json | Input=BillXmlInput(accountNo=100006, billDate=12/16/2025, totalAmount=$ABC, usageKwh=10, countryOfOrigin=us, meters=null)
2025-12-21 21:10:43 INFO  [http-nio-8080-exec-7] REQUEST_LOG - INCOMING_REQUEST | Endpoint=/bill/xml-to-json | Input=BillXmlInput(accountNo=100006, billDate=12/16/2025, totalAmount=$123, usageKwh=10, countryOfOrigin=us, meters=null)
2025-12-21 21:50:59 INFO  [http-nio-8080-exec-2] REQUEST_LOG - INCOMING_REQUEST | Endpoint=/bill/xml-to-json | Input=BillXmlInput(accountNo=100006, billDate=12/16/2025, totalAmount=$123, usageKwh=10, countryOfOrigin=us, meters=null)
2025-12-21 21:52:34 INFO  [http-nio-8080-exec-8] REQUEST_LOG - INCOMING_REQUEST | Endpoint=/bill/xml-to-json | Input=BillXmlInput(accountNo=100006, billDate=12/16/2025, totalAmount=$ABC, usageKwh=10, countryOfOrigin=us, meters=null)
2025-12-21 21:52:42 INFO  [http-nio-8080-exec-6] REQUEST_LOG - INCOMING_REQUEST | Endpoint=/bill/xml-to-json | Input=BillXmlInput(accountNo=100007, billDate=12/16/2025, totalAmount=$ABC, usageKwh=10, countryOfOrigin=us, meters=null)
2025-12-21 21:52:56 INFO  [http-nio-8080-exec-5] REQUEST_LOG - INCOMING_REQUEST | Endpoint=/bill/xml-to-json | Input=BillXmlInput(accountNo=100007, billDate=12/16/2025, totalAmount=$ABC, usageKwh=ABC, countryOfOrigin=us, meters=null)
2025-12-21 21:53:00 INFO  [http-nio-8080-exec-10] REQUEST_LOG - INCOMING_REQUEST | Endpoint=/bill/xml-to-json | Input=BillXmlInput(accountNo=100007, billDate=12/16/2025, totalAmount=$ABC, usageKwh=ABC, countryOfOrigin=us, meters=null)
2025-12-21 21:53:28 INFO  [http-nio-8080-exec-2] REQUEST_LOG - INCOMING_REQUEST | Endpoint=/bill/xml-to-json | Input=BillXmlInput(accountNo=100007, billDate=12/16/2025, totalAmount=$123, usageKwh=ABC, countryOfOrigin=us, meters=null)
2025-12-21 21:53:37 INFO  [http-nio-8080-exec-4] REQUEST_LOG - INCOMING_REQUEST | Endpoint=/bill/xml-to-json | Input=BillXmlInput(accountNo=100007, billDate=12/16/2025, totalAmount=$123, usageKwh=72, countryOfOrigin=us, meters=null)
2025-12-21 22:04:23 INFO  [http-nio-8080-exec-1] REQUEST_LOG - INCOMING_REQUEST | Endpoint=/bill/xml-to-json | Input=BillXmlInput(accountNo=100007, billDate=12/16/2025, totalAmount=$123, usageKwh=72, countryOfOrigin=us, meters=null)
2025-12-21 22:04:27 INFO  [http-nio-8080-exec-3] REQUEST_LOG - INCOMING_REQUEST | Endpoint=/bill/xml-to-json | Input=BillXmlInput(accountNo=100007, billDate=12/16/2025, totalAmount=$123, usageKwh=72, countryOfOrigin=us, meters=null)
2025-12-21 22:04:40 INFO  [http-nio-8080-exec-4] REQUEST_LOG - INCOMING_REQUEST | Endpoint=/bill/xml-to-json | Input=BillXmlInput(accountNo=100008, billDate=12/16/2025, totalAmount=$ABCD, usageKwh=72, countryOfOrigin=us, meters=null)
2025-12-21 22:04:55 INFO  [http-nio-8080-exec-5] REQUEST_LOG - INCOMING_REQUEST | Endpoint=/bill/xml-to-json | Input=BillXmlInput(accountNo=100008, billDate=12/16/2025, totalAmount=$ABCD, usageKwh=ABC, countryOfOrigin=us, meters=null)
2025-12-21 22:05:04 INFO  [http-nio-8080-exec-7] REQUEST_LOG - INCOMING_REQUEST | Endpoint=/bill/xml-to-json | Input=BillXmlInput(accountNo=100008, billDate=12/16/2025, totalAmount=$1234, usageKwh=ABC, countryOfOrigin=us, meters=null)
2025-12-21 22:05:32 INFO  [http-nio-8080-exec-10] REQUEST_LOG - INCOMING_REQUEST | Endpoint=/bill/xml-to-json | Input=BillXmlInput(accountNo=100008, billDate=12/16/2025, totalAmount=$1234, usageKwh=93, countryOfOrigin=jpn, meters=null)
